tweet_id,semeval_id,sentiment,tweet
264183816548130816,15140428,positive,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
263405084770172928,591166521,negative,Not Available
262163168678248449,35266263,negative,Not Available
264249301910310912,18516728,negative,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
262682041215234048,254373818,neutral,Not Available
264229576773861376,518129399,neutral,Not Available
264105751826538497,147088367,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689953794,332474633,negative,"Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out."
212392538055778304,274996324,neutral,Blah Blah Blah
254941790757601280,557103111,negative,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll"